NEWID,SEQNO,INTERI,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR
04428524,3,4,0,0,D,,A,0,D,20212
04428544,2,4,0,724,D,,A,0,D,20212
04428554,5,4,0,0,D,,A,0,D,20212
04428624,2,4,0,100,D,,A,0,D,20212
04428644,1,4,0,500,D,,A,0,D,20212
04428654,5,4,0,60,D,,A,0,D,20212
04428664,3,4,0,0,D,300,D,0,D,20212
04428674,2,4,0,0,D,,A,0,D,20212
04428684,6,4,0,50,D,,A,0,D,20212
04428834,1,4,0,250,D,,A,100,D,20212
04428874,4,4,0,150,D,0,D,100,D,20212
04428904,1,4,0,0,D,,A,0,D,20212
04428924,4,4,0,200,F,285,F,0,D,20212
04428954,1,4,0,100,D,200,D,0,D,20212
04428974,3,4,0,500,D,,A,0,D,20212
04428984,1,4,0,200,D,,A,300,D,20212
04429004,1,4,0,65,D,,A,0,D,20212
04429024,2,4,0,200,F,,A,0,D,20212
04429044,12,4,0,100,D,750,D,0,D,20212
04429084,1,4,0,0,D,,A,0,D,20212
04429154,2,4,0,0,D,60,D,0,D,20212
04429174,1,4,0,150,D,200,D,0,D,20212
04429194,1,4,0,310,D,,A,0,D,20212
04429234,1,4,0,0,D,,A,0,D,20212
04429244,1,4,0,0,D,,A,0,D,20212
04429264,2,4,0,0,D,,A,0,D,20212
04429294,2,4,0,0,D,,A,0,D,20212
04429314,1,4,0,160,D,,A,0,D,20212
04429324,2,4,0,0,D,,A,0,D,20212
04429344,1,4,0,0,D,450,D,0,D,20212
04429374,2,4,0,475,D,,A,650,D,20212
04429384,2,4,0,125,D,,A,0,D,20212
04429434,1,4,0,250,D,250,D,0,D,20212
04429454,1,4,0,0,D,,A,0,D,20212
04429474,1,4,0,0,D,,A,0,D,20212
04429504,1,4,0,0,D,,A,0,D,20212
04429614,1,4,0,300,D,,A,0,D,20212
04429624,1,4,0,0,D,,A,0,D,20212
04429634,1,4,0,35,D,,A,0,D,20212
04429654,1,4,0,100,D,,A,0,D,20212
04429674,1,4,0,0,D,0,D,0,D,20212
04429714,4,4,0,0,D,500,D,0,D,20212
04429764,1,4,0,0,D,,A,500,D,20212
04429804,3,4,0,0,D,180,D,0,D,20212
04429844,9,4,0,350,D,,A,0,D,20212
04429944,1,4,0,0,D,,A,0,D,20212
04429954,1,4,0,75,D,,A,0,D,20212
04429964,1,4,0,150,D,150,D,0,D,20212
04429974,5,4,0,600,D,400,D,0,D,20212
04429994,3,4,0,221,D,,A,0,D,20212
04430014,2,4,0,320,D,,A,7,D,20212
04430024,1,4,0,100,D,,A,0,D,20212
04430074,1,4,0,0,D,,A,0,D,20212
04430084,2,4,0,0,D,,A,0,D,20212
04430164,2,4,0,95,D,,A,0,D,20212
04430184,1,4,0,25,D,,A,0,D,20212
04430234,1,4,0,0,D,,A,0,D,20212
04430254,1,4,0,150,D,150,D,0,D,20212
04430274,2,4,0,100,D,,A,0,D,20212
04430294,5,4,0,515,D,,A,0,D,20212
04430334,1,4,0,0,D,,A,0,D,20212
04430364,1,4,0,0,D,,A,0,D,20212
04430374,9,4,0,1200,D,,A,0,D,20212
04430384,1,4,0,0,D,,A,0,D,20212
04430404,1,4,0,0,D,,A,20,D,20212
04430434,8,4,0,1400,D,,A,300,D,20212
04430444,5,4,0,200,D,200,D,0,D,20212
04430454,1,4,0,0,D,,A,0,D,20212
04430474,1,4,0,180,D,,A,0,D,20212
04430494,6,4,0,1000,D,600,D,0,D,20212
04430614,1,4,0,0,D,,A,0,D,20212
04430624,1,4,0,440,D,,A,0,D,20212
04430654,5,4,0,0,D,,A,0,D,20212
04430684,1,4,0,20,D,,A,0,D,20212
04430694,1,4,0,0,D,,A,0,D,20212
04430724,2,4,0,300,D,,A,0,D,20212
04430734,2,4,0,200,D,,A,0,D,20212
04430744,1,4,0,80,D,,A,0,D,20212
04430754,1,4,0,0,D,,A,0,D,20212
04430794,2,4,0,0,D,,A,0,D,20212
04430834,2,4,0,60,D,,A,0,D,20212
04430844,1,4,0,0,D,,A,0,D,20212
04430904,2,4,0,200,D,,A,0,D,20212
04430924,1,4,0,200,D,0,D,500,D,20212
04430974,5,4,0,0,D,,A,0,D,20212
04430994,2,4,0,450,D,,A,30,D,20212
04431024,1,4,0,0,D,,A,0,D,20212
04431054,1,4,0,0,D,,A,0,D,20212
04431074,11,4,0,0,D,,A,0,D,20212
04431104,3,4,0,25,D,,A,0,D,20212
04431114,2,4,0,0,D,,A,0,D,20212
04431144,1,4,0,0,D,,A,0,D,20212
04431154,4,4,0,200,D,,A,1000,F,20212
04431184,1,4,0,26,D,,A,0,D,20212
04431214,1,4,0,0,D,0,D,0,D,20212
04431254,4,4,0,200,D,200,D,0,D,20212
04431314,5,4,0,150,D,,A,0,D,20212
04431324,2,4,0,0,D,,A,0,D,20212
04431334,3,4,0,1000,D,,A,0,D,20212
04431344,7,4,0,620,D,,A,0,D,20212
04431374,2,4,0,350,D,,A,80,D,20212
04431504,1,4,0,130,D,,A,0,D,20212
04431524,2,4,0,150,D,,A,0,D,20212
04431534,1,4,0,300,D,,A,0,D,20212
04431544,6,4,0,300,D,,A,0,D,20212
04431554,1,4,0,200,D,200,D,0,D,20212
04431564,1,4,0,150,D,,A,0,D,20212
04431594,1,4,0,0,D,,A,0,D,20212
04431614,1,4,0,200,D,100,D,0,D,20212
04431624,1,4,0,0,D,,A,0,D,20212
04431634,1,4,0,0,D,,A,0,D,20212
04431654,1,4,0,100,D,,A,0,D,20212
04431664,1,4,0,300,D,500,D,0,D,20212
04431694,1,4,0,90,F,,A,80,F,20212
04431704,1,4,0,300,D,,A,0,D,20212
04431714,4,4,0,100,D,,A,100,D,20212
04431734,1,4,0,0,D,0,D,0,D,20212
04431744,1,4,0,200,D,100,D,0,D,20212
04431754,3,4,0,250,D,250,D,0,D,20212
04431784,1,4,0,0,D,,A,0,D,20212
04431824,1,4,0,0,D,,A,0,D,20212
04431834,2,4,0,100,D,100,D,0,D,20212
04431854,1,4,0,0,D,,A,0,D,20212
04431864,1,4,0,200,D,,A,0,D,20212
04431884,4,4,0,38,D,203,D,0,D,20212
04461194,1,4,0,200,D,,A,0,D,20212
04461244,1,4,0,225,D,75,D,0,D,20212
04461254,1,4,0,55,D,,A,0,D,20212
04461284,2,4,0,0,D,0,D,0,D,20212
04461314,3,4,0,300,D,,A,60,D,20212
04461324,3,4,0,0,D,40,D,0,D,20212
04461334,1,4,0,0,D,,A,0,D,20212
04461394,1,4,0,0,D,,A,0,D,20212
04461404,1,4,0,0,D,0,D,0,D,20212
04461444,2,4,0,90,D,,A,12,D,20212
04461454,1,4,0,0,D,0,D,0,D,20212
04461464,2,4,0,340,D,600,D,0,D,20212
04461514,1,4,0,0,D,,A,0,D,20212
04461534,2,4,0,0,D,,A,0,D,20212
04461544,1,4,0,0,D,,A,0,D,20212
04461564,1,4,0,60,D,,A,0,D,20212
04461574,2,4,0,300,D,,A,0,D,20212
04461584,1,4,0,200,D,,A,150,D,20212
04461594,8,4,0,10,D,,A,0,D,20212
04461624,4,4,0,200,D,,A,0,D,20212
04461684,1,4,0,0,D,,A,0,D,20212
04461744,2,4,0,100,D,,A,100,D,20212
04461764,1,4,0,5000,D,,A,0,D,20212
04461774,2,4,0,400,D,766,D,20,D,20212
04461814,5,4,0,180,D,50,D,0,D,20212
04461824,2,4,0,0,D,,A,0,D,20212
04461834,4,4,0,130,D,300,D,0,D,20212
04461854,2,4,0,300,D,100,D,0,D,20212
04461864,2,4,0,0,D,,A,0,D,20212
04461874,3,4,0,45,D,,A,0,D,20212
04461894,6,4,0,650,D,,A,30,D,20212
04461924,1,4,0,0,D,,A,0,D,20212
04461994,2,4,0,80,D,0,D,0,D,20212
04462024,1,4,0,30,F,400,F,200,F,20212
04462074,1,4,0,0,D,,A,0,D,20212
04462104,1,4,0,0,D,,A,0,D,20212
04462124,1,4,0,400,D,,A,0,D,20212
04462154,1,4,0,0,D,,A,0,D,20212
04462174,1,4,0,400,D,,A,0,D,20212
04462214,1,4,0,400,D,1000,D,0,D,20212
04462264,1,4,0,130,D,,A,0,D,20212
04462334,2,4,0,400,D,,A,120,D,20212
04462374,1,4,0,0,D,,A,0,D,20212
04462384,3,4,0,330,D,,A,175,D,20212
04462504,4,4,0,25,D,,A,0,D,20212
04462514,1,4,0,100,D,200,D,0,D,20212
04462554,1,4,0,50,D,,A,0,D,20212
04462564,1,4,0,0,D,,A,0,D,20212
04462574,1,4,0,100,D,,A,0,D,20212
04462604,4,4,0,30,D,,A,0,D,20212
04462644,1,4,0,330,D,220,D,0,D,20212
04462674,1,4,0,300,D,225,D,0,D,20212
04462684,2,4,0,40,D,,A,0,D,20212
04462774,1,4,0,60,F,,A,300,F,20212
04462784,1,4,0,0,D,,A,0,D,20212
04462814,3,4,0,0,D,,A,0,D,20212
04462824,1,4,0,600,D,,A,150,D,20212
04462884,1,4,0,250,D,,A,0,D,20212
04462924,1,4,0,125,D,,A,0,D,20212
04462944,3,4,0,150,D,,A,400,D,20212
04462964,2,4,0,1000,D,,A,85,D,20212
04462974,5,4,0,300,D,,A,0,D,20212
04463014,1,4,0,40,D,,A,0,D,20212
04463044,4,4,0,300,D,,A,0,D,20212
04463054,1,4,0,200,D,,A,0,D,20212
04463094,1,4,0,0,D,,A,0,D,20212
04463114,2,4,0,0,D,0,D,0,D,20212
04463124,4,4,0,10,D,165,D,0,D,20212
04463134,3,4,0,150,D,80,D,90,D,20212
04463184,1,4,0,0,D,0,D,0,D,20212
04463244,1,4,0,108,D,,A,0,D,20212
04463254,2,4,0,0,D,0,D,0,D,20212
04463274,2,4,0,0,D,,A,0,D,20212
04463354,2,4,0,200,D,,A,0,D,20212
04463374,1,4,0,500,D,,A,93,F,20212
04463394,1,4,0,0,D,,A,0,D,20212
04463414,4,4,0,230,D,,A,135,D,20212
04463424,2,4,0,12,D,,A,0,D,20212
04463434,1,4,0,0,D,,A,0,D,20212
04463454,1,4,0,0,D,,A,0,D,20212
04463464,1,4,0,0,D,,A,0,D,20212
04463494,1,4,0,150,D,0,D,0,D,20212
04463524,1,4,0,0,D,,A,0,D,20212
04463554,2,4,0,400,D,150,D,0,D,20212
04463564,1,4,0,0,D,,A,0,D,20212
04463584,2,4,0,225,D,,A,25,D,20212
04463594,1,4,0,100,D,,A,30,D,20212
04463624,2,4,0,0,D,,A,0,D,20212
04463634,2,4,0,0,D,,A,0,D,20212
04463654,3,4,0,100,D,250,D,0,D,20212
04463674,3,4,0,350,D,,A,0,D,20212
04463694,1,4,0,100,D,,A,0,D,20212
04463724,2,4,0,170,D,50,D,0,D,20212
04463734,2,4,0,0,D,50,D,0,D,20212
04463774,1,4,0,0,D,0,D,0,D,20212
04463794,2,4,0,400,D,,A,0,D,20212
04463884,1,4,0,150,D,,A,0,D,20212
04463904,1,4,0,170,D,,A,1,D,20212
04463924,1,4,0,40,D,100,D,0,D,20212
04463934,2,4,0,300,D,,A,200,D,20212
04463944,1,4,0,0,D,,A,0,D,20212
04464064,2,4,0,50,D,,A,0,D,20212
04464084,1,4,0,53,D,,A,0,D,20212
04464094,2,4,0,100,D,200,D,0,D,20212
04464144,1,4,0,200,D,800,D,0,D,20212
04464164,3,4,0,1000,D,0,D,200,D,20212
04464194,1,4,0,200,D,,A,175,D,20212
04464204,3,4,0,300,D,700,D,300,D,20212
04464224,1,4,0,250,D,,A,0,D,20212
04464334,1,4,0,0,D,,A,0,D,20212
04464354,1,4,0,0,D,,A,20,D,20212
04464384,4,4,0,60,D,,A,0,D,20212
04464394,2,4,0,35,D,,A,0,D,20212
04464454,1,4,0,400,F,,A,0,D,20212
04464474,1,4,0,10,D,300,D,0,D,20212
04464484,1,4,0,0,D,,A,0,D,20212
04464494,3,4,0,422,D,,A,0,D,20212
04464524,4,4,0,500,D,,A,0,D,20212
04464534,3,4,0,500,D,100,D,0,D,20212
04464544,1,4,0,160,D,,A,0,D,20212
04464564,3,4,0,400,D,,A,0,D,20212
04464574,3,4,0,350,D,200,D,0,D,20212
04464604,2,4,0,796,D,,A,300,D,20212
04464684,1,4,0,0,D,,A,0,D,20212
04464774,6,4,0,125,D,,A,900,F,20212
04464784,1,4,0,0,D,,A,0,D,20212
04464804,1,4,0,100,D,,A,0,D,20212
04464814,1,4,0,150,D,,A,0,D,20212
04464854,1,4,0,350,D,300,D,0,D,20212
04464864,2,4,0,60,D,,A,200,D,20212
04464874,1,4,0,0,D,,A,0,D,20212
04464904,2,4,0,177,D,,A,0,D,20212
04464924,1,4,0,150,D,150,D,0,D,20212
04464944,1,4,0,40,D,,A,0,D,20212
04464954,1,4,0,0,D,200,D,0,D,20212
04464974,1,4,0,0,D,,A,0,D,20212
04464994,4,4,0,55,D,,A,225,D,20212
04465014,1,4,0,375,D,,A,0,D,20212
04465024,6,4,0,123,D,,A,85,D,20212
04465064,2,4,0,250,D,,A,0,D,20212
04465084,2,4,0,150,D,,A,0,D,20212
04465114,1,4,0,0,D,,A,0,D,20212
04465184,1,4,0,100,D,,A,50,D,20212
04465204,1,4,0,0,D,,A,0,D,20212
04465244,1,4,0,0,D,,A,0,D,20212
04465364,5,4,0,200,D,0,D,100,D,20212
04465394,1,4,0,80,D,,A,0,D,20212
04465404,1,4,0,0,D,,A,0,D,20212
04465444,2,4,0,30,D,,A,0,D,20212
04465454,1,4,0,5,D,,A,0,D,20212
04465484,1,4,0,0,D,,A,0,D,20212
04465494,1,4,0,0,D,,A,0,D,20212
